# Sanctum · derived geography confidence table — DO NOT EDIT BY HAND
# regenerate with: tools/geo_classify.py --state CA
# generated 2026-09-02 · state CA · 1653 names
# source: US Census Bureau Gazetteer (public domain)
#   2025_Gaz_counties_national.txt
#   2025_Gaz_place_national.txt
# frequency signal: wordfreq
#
#   A  unique to this state      match on the name alone
#   B  shared with 2-3 states    require corroboration nearby
#   C  shared with 4+ states, or a common English word — never alone
#
#   A 1085   B 280   C 288
#
# LIMIT: the places file has no county column, so this covers the whole
# state. Narrowing to a sub-state AOR needs the Census place-to-county
# relationship file.
#
# name|kind|bucket|states|reason
lake mathews|place|A|1|
lake nacimiento|place|A|1|
lake riverside|place|A|1|
lake san marcos|place|A|1|
lake shastina|place|A|1|
lake sherwood|place|B|2|shares its name with 2 states
lake wildwood|place|A|1|
lake of the pines|place|A|1|
lake of the woods|place|C|6|shares its name with 6 states
lakehead|place|A|1|
lakeland village|place|A|1|
lakeport|place|B|3|shares its name with 3 states
lakeside|place|C|11|shares its name with 11 states
lakeview|place|C|14|shares its name with 14 states
lakewood|place|C|10|shares its name with 10 states
lamont|place|C|6|shares its name with 6 states
lanare|place|A|1|
lancaster|place|C|14|shares its name with 14 states
larkfield-wikiup|place|A|1|
larkspur|place|B|2|shares its name with 2 states
las flores|place|A|1|
las lomas|place|B|2|shares its name with 2 states
lassen|county|A|1|
lathrop|place|B|2|shares its name with 2 states
laton|place|A|1|
lawndale|place|B|2|shares its name with 2 states
laytonville|place|A|1|
le grand|place|B|2|shares its name with 2 states
lebec|place|A|1|
lee vining|place|A|1|
leggett|place|B|2|shares its name with 2 states
lemon cove|place|A|1|
lemon grove|place|B|2|shares its name with 2 states
lemon hill|place|A|1|
lemoore|place|A|1|
lemoore station|place|A|1|
lennox|place|B|2|shares its name with 2 states
lenwood|place|A|1|
leona valley|place|A|1|
lewiston|place|C|8|shares its name with 8 states
lexington hills|place|A|1|
likely|place|C|1|common English word, zipf 5.20
lincoln|place|C|35|common English word, zipf 4.31
lincoln village|place|B|2|shares its name with 2 states
linda|place|C|1|common English word, zipf 4.06
lindcove|place|A|1|
linden|place|C|11|shares its name with 11 states
